game_id,cv_id,charcter_type,name,other_name
1115,12717,主角,富山あかり,富山明里
14686,4658,主角,東地宏樹,东地宏树
14686,4055,主角,丹下桜,丹下樱
14686,4182,主角,島本須美,岛本须美
14686,4421,主角,茅原実里,茅原实里
14686,5014,主角,藤田咲,藤田咲
14686,8075,配角,鈴木裕斗,铃木裕斗
14686,4844,配角,藤原祐規,藤原佑规
215844,8545,主角,蒼井翔太,苍井翔太
215844,4015,主角,櫻井孝宏,樱井孝宏
215844,19714,主角,中島ヨシキ,中岛良树
215844,15592,主角,梅原裕一郎,梅原裕一郎
138703,4166,主角,森久保祥太郎,森久保祥太郎
138703,4645,主角,立花慎之介,立花慎之介
138703,9953,主角,石川界人,石川界人
138703,19713,主角,八代拓,八代拓
120512,4906,主角,寺島拓篤,寺岛拓笃
120512,4950,主角,岡本信彦,冈本信彦
120512,4782,主角,柿原徹也,柿原彻也
120512,14604,主角,斉藤壮馬,齐藤壮马
114220,5872,主角,江口拓也,江口拓也
114220,4994,主角,木村良平,木村良平
114220,4147,主角,鳥海浩輔,鸟海浩辅
114220,20006,主角,広瀬裕也,广濑裕也
190440,5872,主角,江口拓也,江口拓也
190440,4994,主角,木村良平,木村良平
190440,4147,主角,鳥海浩輔,鸟海浩辅
190440,20006,主角,広瀬裕也,广濑裕也
225209,4976,主角,小野友樹,小野友树
225209,10838,主角,千本木彩花,千本木彩花
225209,13825,主角,小林裕介,小林裕介
225209,12568,主角,雨宮天,雨宫天
225209,11485,主角,安済知佳,安济知佳
225209,4982,主角,細谷佳正,细谷佳正
225209,17491,主角,高橋李依,高桥李依
225209,7772,主角,花江夏樹,花江夏树
225209,5764,主角,松岡禎丞,松冈祯丞
225209,10734,配角,塾一久,塾一久
225209,19514,配角,熊谷健太郎,熊谷健太郎
225209,3827,配角,能登麻美子,能登麻美子
225209,4895,配角,早見沙織,早见沙织
225209,16264,配角,朝井彩加,朝井彩加
225209,12483,配角,古川慎,古川慎
158440,16194,主角,没有人,没有人
158440,16311,配角,鎌田梢,镰田梢
158443,16194,主角,没有人,没有人
158443,16311,配角,鎌田梢,镰田梢
117773,4385,主角,山本麻里安,山本麻里安
117773,3854,主角,関俊彦,关俊彦
28374,4738,主角,新名彩乃,新名彩乃
28374,4166,主角,森久保祥太郎,森久保祥太郎
2288,4264,主角,間島淳司,间岛淳司
2288,4690,主角,志村由美,志村由美
2288,5019,配角,中島裕美子,中岛裕美子
2288,4071,配角,遠近孝一,远近孝一
2288,4991,配角,中村繪里子,中村绘里子
2288,4809,配角,後藤麻衣,后藤麻衣
2288,4947,配角,岡田純子,冈田纯子
4219,4071,主角,遠近孝一,远近孝一
4219,5019,主角,中島裕美子,中岛裕美子
4219,4323,主角,浜田賢二,滨田贤二
4219,4714,主角,やなせなつみ,柳濑夏美
4219,4679,主角,高城元気,高城元气
4219,4262,主角,下野紘,下野纮
4219,5020,主角,田口宏子,田口宏子
4219,4327,主角,泰勇気,泰勇气
4219,4947,主角,岡田純子,冈田纯子
4219,4272,配角,伊藤静,伊藤静
4219,3975,配角,古澤徹,古泽彻
4219,4869,配角,あおきさやか,青木沙耶香
4219,26323,配角,野引香里,野引香里
1488,5019,主角,中島裕美子,中岛裕美子
1488,4809,主角,後藤麻衣,后藤麻衣
1488,4262,主角,下野紘,下野纮
1488,5020,主角,田口宏子,田口宏子
1488,4327,主角,泰勇気,泰勇气
1488,4947,主角,岡田純子,冈田纯子
1488,4071,配角,遠近孝一,远近孝一
1488,4714,配角,やなせなつみ,柳濑夏美
1488,26323,配角,野引香里,野引香里
1089,4071,主角,遠近孝一,远近孝一
1089,5019,主角,中島裕美子,中岛裕美子
1089,4809,主角,後藤麻衣,后藤麻衣
1089,4323,主角,浜田賢二,滨田贤二
1089,4714,主角,やなせなつみ,柳濑夏美
1089,4679,主角,高城元気,高城元气
1089,4272,配角,伊藤静,伊藤静
1089,3975,配角,古澤徹,古泽彻
1089,4869,配角,あおきさやか,青木沙耶香
290941,4679,主角,高城元気,高城元气
290941,5926,主角,吉田真弓,吉田真弓
290941,5020,主角,田口宏子,田口宏子
15707,4101,主角,三木眞一郎,三木真一郎
119949,16194,主角,没有人,没有人
119949,4020,配角,半場友恵,半场友惠
14774,4893,主角,遠藤綾,远藤绫
51685,6558,主角,井上みゆ,
51685,16170,主角,八ッ橋きなこ,
51685,16173,主角,藤邑鈴香,藤邑铃香
51685,10026,配角,鈴谷まや,铃谷真夜
207427,6558,主角,井上みゆ,
207427,16170,主角,八ッ橋きなこ,
207427,16173,主角,藤邑鈴香,藤邑铃香
207427,10026,配角,鈴谷まや,铃谷真夜
93360,4727,主角,小野涼子,小野凉子
93360,4646,主角,岡嶋妙,冈岛妙
93360,4675,主角,ひと美,一美
93360,5075,主角,大久保藍子,大久保蓝子
93360,5020,主角,田口宏子,田口宏子
93360,4432,主角,友永朱音,友永朱音
93360,4869,主角,あおきさやか,青木沙耶香
93360,15162,主角,柚原みう,
93360,6509,主角,深田愛衣,深田爱衣
93360,17078,主角,水野七海,水野七海
93360,4810,主角,成瀬未亜,成濑未亚
93360,5906,主角,小林眞紀,小林真纪
104214,5764,主角,松岡禎丞,松冈祯丞
104214,3979,主角,高橋広樹,高桥广树
104214,4982,主角,細谷佳正,细谷佳正
104214,5211,主角,竹内良太,竹内良太
104214,10577,主角,川島得愛,川岛得爱
19385,6351,主角,朋永真季,朋永真季
19385,5922,主角,青葉りんご,青叶苹果
19385,6380,主角,水口まつり,水口茉莉
19385,6359,主角,小山さほみ,小山佐保美
19385,6016,主角,高橋かな,高桥加奈
19385,5905,配角,平山ゆかり,平山缘
107536,1096,主角,子安武人,子安武人
168953,3918,主角,三石琴乃,三石琴乃
168953,3970,主角,堀江由衣,堀江由衣
168953,1096,主角,子安武人,子安武人
78818,1096,主角,子安武人,子安武人
14665,3916,主角,岩男潤子,岩男润子
14665,14643,主角,岡本麻弥,冈本麻弥
14665,1096,主角,子安武人,子安武人
99098,4246,主角,川田紳司,川田绅司
122928,4727,主角,小野涼子,小野凉子
122928,5669,主角,藤本教子,藤本教子
122928,5939,主角,峰岸由香里,峰岸由香里
122928,11646,主角,あさみほとり,
122928,6379,主角,伊藤葉純,伊藤叶纯
122928,6167,主角,ミルノ純,瞰野纯
122928,6351,主角,朋永真季,朋永真季
122928,4936,配角,景浦大輔,景浦大辅
122928,19281,配角,須藤翔,须藤翔
122928,19466,配角,石川弘則,石川弘则
122928,15162,配角,柚原みう,
122928,13776,配角,尾崎未來,尾崎未来
1126,3884,主角,保志総一朗,保志总一朗
1126,13698,主角,？？？,？？？
1126,3958,主角,浅川悠,浅川悠
1126,3899,主角,笠原弘子,笠原弘子
1126,4471,主角,下屋則子,下屋则子
1126,4263,主角,植田佳奈,植田佳奈
1126,4161,主角,望月久代,望月久代
130570,4384,主角,有島モユ,有岛萌
12592,6130,主角,真木碧,真木碧
12592,6131,配角,浅井晴美,浅井晴美
12592,6106,配角,梶田夕貴,梶田夕貴
12592,4956,配角,櫻井浩美,樱井浩美
13253,4432,主角,友永朱音,友永朱音
13253,4830,主角,壱智村小真,壹智村小真
13253,4956,主角,櫻井浩美,樱井浩美
13253,4832,主角,田中涼子,田中凉子
13253,4705,主角,結下みちる,结下满
13253,4916,主角,榊原ゆい,榊原由依
13253,4810,配角,成瀬未亜,成濑未亚
13253,4282,配角,小暮英麻,小暮英麻
13253,4177,配角,本井えみ,本井英美
13253,4678,配角,谷山紀章,谷山纪章
13253,4131,配角,大川透,大川透
13253,4860,配角,四宮豪,四宫豪
269618,16194,主角,没有人,没有人
269618,6846,主角,三宅麻理恵,三宅麻理惠
269618,20256,主角,結城ほのか,
269618,7169,主角,橘志穂,橘志穗
269618,5208,主角,五十嵐裕美,五十岚裕美
269618,24908,配角,戸板優衣,户板优衣
269618,8493,配角,長妻樹里,长妻树里
269618,4745,配角,井ノ上奈々,井之上奈奈
45094,6351,主角,朋永真季,朋永真季
45094,7890,主角,天乙准花,天乙准花
45094,8069,主角,英みらい,
45094,22923,主角,笑兵衛,笑兵卫
45094,15550,配角,貴坂理緒,贵坂理绪
45094,19494,配角,雪代綾乃,
16864,4916,主角,榊原ゆい,榊原由依
16864,4810,主角,成瀬未亜,成濑未亚
16864,4646,主角,岡嶋妙,冈岛妙
16864,4809,主角,後藤麻衣,后藤麻衣
16864,4705,主角,結下みちる,结下满
16864,6018,配角,倉田まりや,
16864,4675,配角,ひと美,一美
16864,4869,配角,あおきさやか,青木沙耶香
16864,4714,配角,やなせなつみ,柳濑夏美
3904,4744,主角,儀武ゆう子,仪武佑子
3904,15996,主角,桜木アミサ,樱木有未彩
3904,4799,主角,山川琴美,山川琴美
3904,5692,主角,咲乃藍里,咲乃蓝里
9927,35442,配角,Jason Marsden,杰森·马斯登
2796,4075,主角,茶山莉子,茶山莉子
2796,3927,主角,石田彰,石田彰
2796,3877,主角,坂本真綾,坂本真绫
2890,4130,主角,小山力也,小山力也
2890,3920,主角,若本規夫,若本规夫
2890,4268,主角,青野武,青野武
2890,4027,主角,朴璐美,朴璐美
2890,3922,主角,名塚佳織,名冢佳织
173533,4055,主角,丹下桜,丹下樱
173533,4249,主角,斎藤千和,斋藤千和
173533,3827,主角,能登麻美子,能登麻美子
173533,740,配角,川澄綾子,川澄绫子
173533,3868,配角,関智一,关智一
173533,3864,配角,諏訪部順一,诹访部顺一
173533,4018,配角,神奈延年,神奈延年
173533,3958,配角,浅川悠,浅川悠
173533,3832,配角,大塚明夫,大冢明夫
173533,5277,配角,安井邦彦,安井邦彦
173533,5277,配角,安井邦彦,安井邦彦
173533,4260,配角,水島大宙,水岛大宙
173533,3877,配角,坂本真綾,坂本真绫
173533,6090,配角,大久保瑠美,大久保瑠美
173533,4614,配角,遊佐浩二,游佐浩二
173533,5007,配角,興津和幸,兴津和幸
214013,4249,主角,斎藤千和,斋藤千和
214013,4055,主角,丹下桜,丹下樱
214013,4994,主角,木村良平,木村良平
214013,740,配角,川澄綾子,川澄绫子
214013,3868,配角,関智一,关智一
214013,3864,配角,諏訪部順一,诹访部顺一
214013,4018,配角,神奈延年,神奈延年
214013,3958,配角,浅川悠,浅川悠
214013,3832,配角,大塚明夫,大冢明夫
214013,3976,配角,置鮎龍太郎,置鲇龙太郎
214013,4935,配角,鶴岡聡,鹤冈聪
214013,4550,配角,高乃麗,高乃丽
214013,4147,配角,鳥海浩輔,鸟海浩辅
214013,5277,配角,安井邦彦,安井邦彦
214013,5277,配角,安井邦彦,安井邦彦
214013,4260,配角,水島大宙,水岛大宙
214013,3877,配角,坂本真綾,坂本真绫
214013,6090,配角,大久保瑠美,大久保瑠美
214013,4614,配角,遊佐浩二,游佐浩二
214013,3827,配角,能登麻美子,能登麻美子
214013,3827,配角,能登麻美子,能登麻美子
214013,5277,配角,安井邦彦,安井邦彦
214013,7392,配角,島﨑信長,岛崎信长
214013,6090,配角,大久保瑠美,大久保瑠美
214013,5007,配角,興津和幸,兴津和幸
7567,4055,主角,丹下桜,丹下樱
7567,3864,主角,諏訪部順一,诹访部顺一
7567,4249,主角,斎藤千和,斋藤千和
7567,4471,配角,下屋則子,下屋则子
7567,4332,配角,伊藤美紀,伊藤美纪
7567,4550,配角,高乃麗,高乃丽
7567,4147,配角,鳥海浩輔,鸟海浩辅
7567,5277,配角,安井邦彦,安井邦彦
7567,4263,配角,植田佳奈,植田佳奈
7567,4018,配角,神奈延年,神奈延年
7567,4232,配角,神谷浩史,神谷浩史
7567,4027,配角,朴璐美,朴璐美
7567,4260,配角,水島大宙,水岛大宙
7567,4371,配角,野中藍,野中蓝
7567,4371,配角,野中藍,野中蓝
7567,3847,配角,真田アサミ,真田麻美
7567,4620,配角,羽多野渉,羽多野涉
7567,5277,配角,安井邦彦,安井邦彦
7567,4162,配角,麦人,寺田诚
7567,4398,配角,小林ゆう,小林优
7567,4104,配角,江川央生,江川央生
7567,4391,配角,伊藤健太郎,伊藤健太郎
7567,4007,配角,柚木涼香,柚木凉香
7567,4658,配角,東地宏樹,东地宏树
7567,1057,配角,田中秀幸,田中秀幸
7567,3971,配角,中田譲治,中田让治
7567,4313,配角,真殿光昭,真殿光昭
7567,3877,客串,坂本真綾,坂本真绫
35862,3868,主角,関智一,关智一
35862,4471,主角,下屋則子,下屋则子
35862,4055,主角,丹下桜,丹下樱
35862,3864,主角,諏訪部順一,诹访部顺一
35862,4249,主角,斎藤千和,斋藤千和
35862,4471,主角,下屋則子,下屋则子
35862,4232,配角,神谷浩史,神谷浩史
35862,3971,配角,中田譲治,中田让治
35862,4263,配角,植田佳奈,植田佳奈
35862,4332,配角,伊藤美紀,伊藤美纪
35862,3847,配角,真田アサミ,真田麻美
35862,4027,配角,朴璐美,朴璐美
35862,4620,配角,羽多野渉,羽多野涉
35862,4398,配角,小林ゆう,小林优
35862,4260,配角,水島大宙,水岛大宙
35862,3862,配角,田中理恵,田中理惠
35862,6090,配角,大久保瑠美,大久保瑠美
35862,5076,配角,悠木碧,悠木碧
35862,4614,配角,遊佐浩二,游佐浩二
35862,6447,配角,小倉唯,小仓唯
35862,4895,配角,早見沙織,早见沙织
35862,1096,配角,子安武人,子安武人
109378,8138,主角,種田梨沙,种田梨沙
109378,4332,配角,伊藤美紀,伊藤美纪
109378,10887,配角,M・A・O,市道真央
109378,6090,配角,大久保瑠美,大久保瑠美
109378,6090,配角,大久保瑠美,大久保瑠美
109378,13199,配角,佳村はるか,佳村遥
