game_id,person_id,work,name,other_name
13119,33279,开发,テクモ,特库摩
13119,33279,发行,テクモ,特库摩
13154,619,开发,メディアワークス ,
130040,18069,开发,chiffon,chiffon
208455,36001,发行,Adult Swim Games ,
72033,6734,开发,任天堂,任天堂
72033,6734,发行,任天堂,任天堂
249869,471,开发,CAPCOM,卡普空
249869,471,发行,CAPCOM,卡普空
185361,471,开发,CAPCOM,卡普空
81359,32800,开发,WayForward Technologies ,
81359,471,发行,CAPCOM,卡普空
47083,3502,开发,バンダイナムコエンターテインメント,万代南梦宫娱乐
249667,11174,开发,NEXON,纳克森
249667,11174,发行,NEXON,纳克森
1115,2387,开发,戯画,戏画
1115,2387,发行,戯画,戏画
1115,7013,剧本,沙月 ,
1115,6290,剧本,小林且典 ,
1115,6394,剧本,卑影ムラサキ,卑影紫
1115,6126,剧本,丸戸史明,丸户史明
1115,5733,主题歌演出,KOTOKO,石田琴子
1115,2923,原画,菊池政治,菊池政治
14686,3229,开发,5pb. ,
14686,3229,发行,5pb. ,
14686,7946,开发,MAGES.,美吉斯
14686,7946,发行,MAGES.,美吉斯
14686,13701,剧本,関涼子 ,
14686,29505,原画,長浜めぐみ ,
14686,7945,企画,市川和弘,市川和弘
72776,17815,开发,Westwood Studios,西木工作室
72776,13930,发行,Electronic Arts,艺电
256461,17815,开发,Westwood Studios,西木工作室
132075,18317,开发,Bullfrog Productions,牛蛙工作室
132075,13930,发行,Electronic Arts,艺电
11608,18317,开发,Bullfrog Productions,牛蛙工作室
11608,13930,发行,Electronic Arts,艺电
79324,7482,开发,Taito,太东
79324,7482,发行,Taito,太东
203757,35103,开发,Amplitude Studios ,
203757,1541,发行,SEGA,世嘉
2030,17238,开发,Gas Powered Games,燃气动力
2030,16859,发行,Xbox Game Studios,Xbox游戏工作室
2030,17326,遊戲設計師,Chris Taylor,克里斯 泰勒
2031,17238,开发,Gas Powered Games,燃气动力
2031,16859,发行,Xbox Game Studios,Xbox游戏工作室
2032,17238,开发,Gas Powered Games,燃气动力
2032,17326,遊戲設計師,Chris Taylor,克里斯 泰勒
20136,18153,开发,Obsidian Entertainment,黑曜石娱乐
20136,497,发行,スクウェア・エニックス,史克威尔·艾尼克斯
20136,17043,发行,Eidos Interactive,艺夺
1335,20360,发行,2K Games ,
1335,17326,遊戲設計師,Chris Taylor,克里斯 泰勒
66758,471,开发,CAPCOM,卡普空
66758,471,发行,CAPCOM,卡普空
53010,17916,发行,Atari Games,雅达利游戏
66757,471,开发,CAPCOM,卡普空
66757,471,发行,CAPCOM,卡普空
66757,15651,人物设定,西村キヌ,西村絹
289421,35326,开发,JFi Games ,
289421,35326,发行,JFi Games ,
59333,1018,发行,Sony Interactive Entertainment,索尼互动娱乐
105143,16859,发行,Xbox Game Studios,Xbox游戏工作室
11801,32731,开发,People Can Fly ,
123497,35563,开发,Techland ,
123497,6814,发行,"Warner Bros. Entertainment, Inc",华纳兄弟娱乐公司
249294,35563,开发,Techland ,
249294,35563,发行,Techland ,
220085,32772,开发,NEKCOM Entertainment,铃空游戏
220085,10361,音乐,山岡晃,山冈晃
220085,10361,音响监督,山岡晃,山冈晃
210500,32772,开发,NEKCOM Entertainment,铃空游戏
210500,32771,发行,Coconut Island,椰岛游戏
215844,6720,开发,honeybee,蜜蜂社
215844,9219,剧本,浅生柚子 ,
215844,31101,剧本,なかむらさちよ ,
215844,19110,原画,冨士原良,富士原良
138703,6720,开发,honeybee,蜜蜂社
138703,31101,剧本,なかむらさちよ ,
138703,9219,剧本,浅生柚子 ,
138703,22998,剧本,株式会社エッジワークス ,
